## Supported OTG Parameter List:
Method	Type	Key
Set/Get Config	Request	ports.{i}.location
Set/Get Config	Request	lags.{i}.ports.{i}.port_name
Set/Get Config	Request	lags.{i}.ports.{i}.lacp.actor_port_number
Set/Get Config	Request	lags.{i}.ports.{i}.lacp.actor_port_priority
Set/Get Config	Request	lags.{i}.ports.{i}.lacp.actor_activity
Set/Get Config	Request	lags.{i}.ports.{i}.lacp.lacpdu_timeout
Set/Get Config	Request	lags.{i}.ports.{i}.ethernet.mac
Set/Get Config	Request	lags.{i}.ports.{i}.ethernet.mtu
Set/Get Config	Request	lags.{i}.ports.{i}.ethernet.vlans.{i}.tpid
Set/Get Config	Request	lags.{i}.ports.{i}.ethernet.vlans.{i}.priority
Set/Get Config	Request	lags.{i}.ports.{i}.ethernet.vlans.{i}.id
Set/Get Config	Request	lags.{i}.ports.{i}.ethernet.vlans.{i}.name
Set/Get Config	Request	lags.{i}.ports.{i}.ethernet.name
Set/Get Config	Request	lags.{i}.protocol.lacp.actor_system_id
Set/Get Config	Request	lags.{i}.protocol.lacp.actor_system_priority
Set/Get Config	Request	lags.{i}.name
Set/Get Config	Request	layer1.{i}.port_names.{i}
Set/Get Config	Request	layer1.{i}.speed
Set/Get Config	Request	layer1.{i}.name
Set/Get Config	Request	captures.{i}.port_names.{i}
Set/Get Config	Request	devices.{i}.ethernets.{i}.connection.choice
Set/Get Config	Request	devices.{i}.ethernets.{i}.connection.port_name
Set/Get Config	Request	devices.{i}.ethernets.{i}.connection.lag_name
Set/Get Config	Request	devices.{i}.ethernets.{i}.connection.vxlan_name
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv4_addresses.{i}.gateway
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv4_addresses.{i}.address
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv4_addresses.{i}.prefix
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv4_addresses.{i}.name
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv6_addresses.{i}.gateway
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv6_addresses.{i}.address
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv6_addresses.{i}.prefix
Set/Get Config	Request	devices.{i}.ethernets.{i}.ipv6_addresses.{i}.name
Set/Get Config	Request	devices.{i}.ethernets.{i}.mac
Set/Get Config	Request	devices.{i}.ethernets.{i}.mtu
Set/Get Config	Request	devices.{i}.ethernets.{i}.vlans.{i}.tpid
Set/Get Config	Request	devices.{i}.ethernets.{i}.vlans.{i}.priority
Set/Get Config	Request	devices.{i}.ethernets.{i}.vlans.{i}.id
Set/Get Config	Request	devices.{i}.ethernets.{i}.vlans.{i}.name
Set/Get Config	Request	devices.{i}.ethernets.{i}.name
Set/Get Config	Request	devices.{i}.isis.system_id
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.eth_name
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.metric
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.network_type
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.level_type
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.l1_settings.priority
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.l1_settings.hello_interval
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.l1_settings.dead_interval
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.l2_settings.priority
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.l2_settings.hello_interval
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.l2_settings.dead_interval
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.authentication.auth_type
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.authentication.md5
Set/Get Config	Request	devices.{i}.isis.interfaces.{i}.authentication.password
Set/Get Config	Request	devices.{i}.isis.basic.enable_wide_metric
Set/Get Config	Request	devices.{i}.isis.advanced.enable_hello_padding
Set/Get Config	Request	devices.{i}.isis.advanced.lsp_refresh_rate
Set/Get Config	Request	devices.{i}.isis.advanced.lsp_lifetime
Set/Get Config	Request	devices.{i}.isis.v4_routes.{i}.addresses.{i}.address
Set/Get Config	Request	devices.{i}.isis.v4_routes.{i}.addresses.{i}.prefix
Set/Get Config	Request	devices.{i}.isis.v4_routes.{i}.addresses.{i}.count
Set/Get Config	Request	devices.{i}.isis.v4_routes.{i}.addresses.{i}.step
Set/Get Config	Request	devices.{i}.isis.v4_routes.{i}.name
Set/Get Config	Request	devices.{i}.isis.v6_routes.{i}.addresses.{i}.address
Set/Get Config	Request	devices.{i}.isis.v6_routes.{i}.addresses.{i}.prefix
Set/Get Config	Request	devices.{i}.isis.v6_routes.{i}.addresses.{i}.count
Set/Get Config	Request	devices.{i}.isis.v6_routes.{i}.addresses.{i}.step
Set/Get Config	Request	devices.{i}.isis.v6_routes.{i}.name
Set/Get Config	Request	devices.{i}.isis.name
Set/Get Config	Request	devices.{i}.bgp.router_id
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.ipv4_name
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.peer_address
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.as_type
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.as_number
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.as_number_width
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.advanced.hold_time_interval
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.advanced.keep_alive_interval
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.advanced.update_interval
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.advanced.time_to_live
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.advanced.md5_key
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.advanced.passive_mode
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.capability.ipv4_unicast
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.capability.ipv4_multicast
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.capability.ipv6_unicast
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.capability.ipv6_multicast
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.capability.route_refresh
Set/Get Config	Request	devices.{i}.bgp.ipv4_interfaces.{i}.peers.{i}.capability.extended_next_hop_encoding
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.as_type
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.as_number
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.as_number_width
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.advanced.hold_time_interval
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.advanced.keep_alive_interval
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.advanced.update_interval
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.advanced.time_to_live
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.advanced.md5_key
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.advanced.passive_mode
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.capability.ipv4_unicast
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.capability.ipv4_multicast
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.capability.ipv6_unicast
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.capability.ipv6_multicast
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.capability.route_refresh
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.capability.extended_next_hop_encoding
Set/Get Config	Request	devices.{i}.bgp.ipv6_interfaces.{i}.peers.{i}.name
Set/Get Config	Request	flows.{i}.tx_rx.choice
Set/Get Config	Request	flows.{i}.tx_rx.port.tx_name
Set/Get Config	Request	flows.{i}.tx_rx.port.rx_name
Set/Get Config	Request	flows.{i}.tx_rx.port.rx_names.{i}
Set/Get Config	Request	flows.{i}.tx_rx.device.mode
Set/Get Config	Request	flows.{i}.tx_rx.device.tx_names.{i}
Set/Get Config	Request	flows.{i}.tx_rx.device.rx_names.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.choice
Set/Get Config	Request	flows.{i}.packet.{i}.custom.bytes
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.value
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.auto
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.value
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.decrement.step
